Tempo(s), Risco do Sensor, Nível da Bateria, Diff(s)
205.295,moderado,73.23,0.39996
205.498,baixo,73.2,0.202563
206.097,moderado,73.13,0.59876
206.201,alto,73.11,0.104573
206.3,moderado,73.09,0.0981791
206.399,alto,73.07,0.0996753
206.696,moderado,73.03,0.297011
206.996,alto,72.99,0.299676
207.199,moderado,72.96,0.2028
207.796,baixo,72.89,0.597159
208.1,moderado,72.85,0.303721
208.299,alto,72.82,0.198947
208.595,moderado,72.78,0.29692
208.695,baixo,72.76,0.0998164
209.295,moderado,72.69,0.59978
209.399,alto,72.67,0.103744
209.5,baixo,72.65,0.101459
210.397,moderado,72.55,0.896464
210.796,alto,72.5,0.398814
210.997,moderado,72.47,0.201365
211.194,baixo,72.44,0.196664
211.499,moderado,72.4,0.305349
212.995,baixo,72.24,1.4959
213.292,moderado,72.2,0.297136
213.394,alto,72.18,0.102505
213.499,moderado,72.16,0.104472
214.195,alto,72.08,0.695708
214.299,moderado,72.06,0.104211
214.499,alto,72.03,0.199654
216.096,moderado,71.86,1.59727
216.598,baixo,71.8,0.502237
216.699,moderado,71.78,0.100682
216.798,baixo,71.76,0.0996352
217.094,moderado,71.72,0.295771
217.299,baixo,71.69,0.204928
217.994,alto,71.61,0.694723
218.395,moderado,71.56,0.400953
218.6,alto,71.53,0.205324
218.797,moderado,71.5,0.197173
219.097,alto,71.46,0.299619
219.798,moderado,71.38,0.70074
220.194,baixo,71.33,0.396909
220.295,moderado,71.31,0.100411
220.498,baixo,71.28,0.20285
221.298,moderado,71.19,0.800749
221.496,alto,71.16,0.197963
221.995,moderado,71.1,0.498331
222.094,alto,71.08,0.0994094
222.302,moderado,71.05,0.207497
222.594,alto,71.01,0.292617
222.798,moderado,70.98,0.203436
222.898,alto,70.96,0.100387
223.096,moderado,70.93,0.197724
223.397,baixo,70.89,0.301353
224.096,moderado,70.81,0.698348
224.495,baixo,70.76,0.399818
225.099,moderado,70.69,0.603965
225.196,baixo,70.67,0.0962491
225.298,moderado,70.65,0.102844
225.498,alto,70.62,0.19953
226.095,baixo,70.55,0.597334
226.198,moderado,70.53,0.102335
226.695,alto,70.47,0.496923
226.897,moderado,70.44,0.201969
227.097,baixo,70.41,0.200185
227.698,moderado,70.34,0.60166
228.095,baixo,70.29,0.3963
228.198,moderado,70.27,0.102856
228.396,alto,70.24,0.198457
229.296,moderado,70.14,0.900475
229.499,baixo,70.11,0.202324
229.894,moderado,70.06,0.394747
230.395,baixo,70,0.501526
230.895,moderado,69.94,0.499527
231.096,alto,69.91,0.201708
231.199,baixo,69.89,0.102841
231.596,moderado,69.84,0.397354
231.797,baixo,69.81,0.200878
232.095,moderado,69.77,0.297655
232.299,baixo,69.74,0.20445
232.397,moderado,69.72,0.0978745
232.496,baixo,69.7,0.0986633
232.599,alto,69.68,0.103264
232.797,baixo,69.65,0.198079
233.295,moderado,69.59,0.497602
233.396,alto,69.57,0.100726
233.497,moderado,69.55,0.101145
234.095,alto,69.48,0.598032
234.197,moderado,69.46,0.102068
234.598,alto,69.41,0.400678
234.696,moderado,69.39,0.0985706
234.797,alto,69.37,0.101166
235.397,moderado,69.3,0.599199
235.496,baixo,69.28,0.099795
235.598,moderado,69.26,0.101733
235.701,alto,69.24,0.102646
235.896,moderado,69.21,0.195779
235.995,alto,69.19,0.0985069
236.596,baixo,69.12,0.600657
236.697,moderado,69.1,0.101671
236.799,baixo,69.08,0.101753
236.996,moderado,69.05,0.197218
237.293,baixo,69.01,0.29702
237.595,moderado,68.97,0.301924
238.195,baixo,68.9,0.59952
238.594,moderado,68.85,0.399358
238.695,baixo,68.83,0.101035
239.098,moderado,68.78,0.402801
239.496,baixo,68.73,0.397768
240.5,moderado,68.62,1.00472
240.794,baixo,68.58,0.29403
241.295,alto,68.52,0.50079
242.099,moderado,68.43,0.803637
242.197,alto,68.41,0.0978506
242.298,moderado,68.39,0.101345
242.794,alto,68.33,0.495648
242.997,baixo,68.3,0.203707
243.197,alto,68.27,0.199663
243.498,moderado,68.23,0.301044
243.599,alto,68.21,0.100683
244.096,moderado,68.15,0.497581
244.199,baixo,68.13,0.102169
244.597,moderado,68.08,0.398448
245.095,baixo,68.02,0.4977
245.197,moderado,68,0.102283
245.494,baixo,67.96,0.297415
246.395,moderado,67.86,0.900518
246.896,baixo,67.8,0.500934
247.398,moderado,67.74,0.502267
247.895,baixo,67.68,0.496547
247.997,moderado,67.66,0.101916
248.795,alto,67.57,0.798157
249.196,moderado,67.52,0.40148
249.298,baixo,67.5,0.101485
249.4,moderado,67.48,0.102678
249.698,baixo,67.44,0.297987
249.897,alto,67.41,0.198251
250.697,moderado,67.32,0.800072
251.294,baixo,67.25,0.597427
251.499,alto,67.22,0.204633
251.601,moderado,67.2,0.102312
251.895,baixo,67.16,0.293634
252.098,alto,67.13,0.203557
252.397,moderado,67.09,0.298476
253,baixo,67.02,0.602873
253.196,alto,66.99,0.196224
253.296,moderado,66.97,0.100014
253.499,baixo,66.94,0.203197
253.898,moderado,66.89,0.398717
254.497,alto,66.82,0.598725
255.096,moderado,66.75,0.599665
255.196,baixo,66.73,0.0994245
255.996,alto,66.64,0.800021
256.694,moderado,66.56,0.698269
257,baixo,66.52,0.306027
257.098,moderado,66.5,0.0976843
257.798,alto,66.42,0.700129
258.294,baixo,66.36,0.496613
258.596,alto,66.32,0.301667
259.893,moderado,66.18,1.29707
260.496,baixo,66.11,0.60267
260.896,moderado,66.06,0.399981
261.101,alto,66.03,0.205202
261.395,moderado,65.99,0.293929
261.598,baixo,65.96,0.203172
261.796,moderado,65.93,0.198456
261.995,baixo,65.9,0.198441
262.594,alto,65.83,0.599546
262.895,baixo,65.79,0.300221
263.394,alto,65.73,0.498923
263.495,moderado,65.71,0.101219
263.696,alto,65.68,0.200692
263.8,baixo,65.66,0.104355
264.397,moderado,65.59,0.596959
264.797,baixo,65.54,0.399951
265.096,alto,65.5,0.29928
265.396,moderado,65.46,0.299894
266.194,alto,65.37,0.79837
266.299,moderado,65.35,0.104961
266.501,alto,65.32,0.201396
266.697,moderado,65.29,0.196543
266.995,alto,65.25,0.298036
267.1,moderado,65.23,0.104318
267.595,alto,65.17,0.495757
268.099,moderado,65.11,0.50411
268.199,baixo,65.09,0.0991766
268.395,moderado,65.06,0.196228
268.796,baixo,65.01,0.401316
268.993,moderado,64.98,0.197002
269.296,alto,64.94,0.302911
269.696,moderado,64.89,0.400245
269.795,alto,64.87,0.0989374
269.995,moderado,64.84,0.199727
270.496,alto,64.78,0.50077
270.7,moderado,64.75,0.20392
271.394,baixo,64.67,0.694539
271.597,moderado,64.64,0.202745
271.799,alto,64.61,0.202375
271.999,baixo,64.58,0.199497
272.097,moderado,64.56,0.0982375
272.298,alto,64.53,0.200886
272.801,baixo,64.47,0.503344
273.199,alto,64.42,0.397199
273.398,baixo,64.39,0.199529
273.498,moderado,64.37,0.100174
273.896,baixo,64.32,0.397681
273.998,moderado,64.3,0.102059
274.294,baixo,64.26,0.296383
274.695,moderado,64.21,0.400869
274.796,alto,64.19,0.100857
274.996,moderado,64.16,0.199487
275.297,baixo,64.12,0.301463
275.596,moderado,64.08,0.299196
276.193,baixo,64.01,0.597277
276.496,moderado,63.97,0.302904
276.596,alto,63.95,0.0998837
276.995,moderado,63.9,0.398895
277.194,baixo,63.87,0.198993
277.295,moderado,63.85,0.100482
277.996,baixo,63.77,0.701411
278.595,moderado,63.7,0.59938
278.895,alto,63.66,0.299506
279.696,moderado,63.57,0.800854
280.496,alto,63.48,0.800094
280.597,baixo,63.46,0.100737
280.998,moderado,63.41,0.401186
281.798,alto,63.32,0.800155
281.996,baixo,63.29,0.19758
282.197,alto,63.26,0.201211
282.4,moderado,63.23,0.203711
282.495,baixo,63.21,0.094473
282.702,moderado,63.18,0.206551
282.995,baixo,63.14,0.293505
283.395,moderado,63.09,0.39988
283.695,alto,63.05,0.299626
283.896,moderado,63.02,0.201297
284.595,alto,62.94,0.699267
284.896,baixo,62.9,0.301122
286,moderado,62.78,1.10346
286.1,baixo,62.76,0.09995
286.199,moderado,62.74,0.0994344
286.497,baixo,62.7,0.297893
286.996,moderado,62.64,0.499263
287.396,baixo,62.59,0.400072
287.5,moderado,62.57,0.103384
287.7,baixo,62.54,0.199883
287.799,moderado,62.52,0.0995917
287.997,baixo,62.49,0.197528
288.297,moderado,62.45,0.300018
288.796,baixo,62.39,0.499063
289.596,moderado,62.3,0.800077
289.699,baixo,62.28,0.103445
289.998,moderado,62.24,0.298454
290.695,alto,62.16,0.697071
290.994,moderado,62.12,0.298794
291.097,alto,62.1,0.103751
291.299,moderado,62.07,0.201324
291.397,baixo,62.05,0.0980164
291.598,moderado,62.02,0.201051
291.995,alto,61.97,0.396983
293.497,moderado,61.81,1.50234
293.895,baixo,61.76,0.398895
294.499,moderado,61.69,0.603815
294.6,alto,61.67,0.100703
295.197,moderado,61.6,0.597445
295.598,baixo,61.55,0.400723
295.995,moderado,61.5,0.397347
296.499,alto,61.44,0.503788
296.696,moderado,61.41,0.196963
297.196,alto,61.35,0.500352
297.496,moderado,61.31,0.299499
297.699,alto,61.28,0.20319
298.899,moderado,61.15,1.19992
299.196,baixo,61.11,0.297515
299.595,moderado,61.06,0.398253
300,alto,61.01,0.405387
300.293,moderado,60.97,0.292994
300.595,baixo,60.93,0.301893
300.893,moderado,60.89,0.298309
301.294,alto,60.84,0.401289
301.497,baixo,60.81,0.20258
301.598,alto,60.79,0.101119
302.095,moderado,60.73,0.497248
302.394,baixo,60.69,0.299035
303.096,moderado,60.61,0.701312
303.597,alto,60.55,0.501293
304.695,baixo,60.43,1.09786
305.1,alto,60.38,0.404775
305.196,moderado,60.36,0.0968076
305.398,baixo,60.33,0.201496
305.795,moderado,60.28,0.397513
306.096,baixo,60.24,0.300696
306.598,moderado,60.18,0.501933
306.896,alto,60.14,0.297744
307.595,moderado,60.06,0.699253
307.796,alto,60.03,0.200662
308.194,moderado,59.98,0.398217
308.598,alto,59.93,0.404277
309.1,moderado,59.87,0.501767
309.197,alto,59.85,0.0970277
310.498,moderado,59.71,1.30077
311.198,baixo,59.63,0.699917
311.698,moderado,59.57,0.499857
311.796,baixo,59.55,0.0984243
311.898,moderado,59.53,0.102399
312.001,alto,59.51,0.102561
312.496,moderado,59.45,0.495184
312.599,alto,59.43,0.103195
313.095,moderado,59.37,0.495972
313.298,alto,59.34,0.20277
313.397,moderado,59.32,0.0993558
314.394,alto,59.21,0.996559
314.594,baixo,59.18,0.200119
314.795,moderado,59.15,0.200625
314.895,baixo,59.13,0.100654
314.995,moderado,59.11,0.100035
315.394,baixo,59.06,0.398875
315.596,moderado,59.03,0.201461
315.801,alto,59,0.204884
315.9,moderado,58.98,0.0988519
316.393,alto,58.92,0.493918
317.495,moderado,58.8,1.10169
318.794,baixo,58.66,1.29842
318.896,alto,58.64,0.102463
318.997,moderado,58.62,0.100507
319.097,baixo,58.6,0.100704
319.197,moderado,58.58,0.100164
319.296,baixo,58.56,0.0987577
319.497,moderado,58.53,0.200672
319.893,alto,58.48,0.396366
320.101,moderado,58.45,0.207391
320.299,baixo,58.42,0.198899
320.594,alto,58.38,0.294347
321.197,moderado,58.31,0.603246
321.398,baixo,58.28,0.201034
321.497,moderado,58.26,0.0990789
321.697,baixo,58.23,0.199637
321.994,moderado,58.19,0.296799
322.296,baixo,58.15,0.302118
322.398,moderado,58.13,0.102668
322.901,baixo,58.07,0.502493
323.395,alto,58.01,0.494377
323.695,moderado,57.97,0.300101
323.796,baixo,57.95,0.100329
323.899,moderado,57.93,0.102932
324.199,baixo,57.89,0.300124
324.396,alto,57.86,0.197035
324.597,moderado,57.83,0.201549
324.895,baixo,57.79,0.297863
325.096,moderado,57.76,0.20122
325.395,alto,57.72,0.298308
325.792,moderado,57.67,0.397667
326.197,baixo,57.62,0.404249
326.296,moderado,57.6,0.0992018
326.598,baixo,57.56,0.301718
326.694,moderado,57.54,0.0962071
327.398,baixo,57.46,0.704542
327.499,moderado,57.44,0.100775
327.796,alto,57.4,0.297191
328.195,moderado,57.35,0.398546
328.297,baixo,57.33,0.101955
328.397,moderado,57.31,0.10025
328.496,baixo,57.29,0.098907
328.699,moderado,57.26,0.203505
329.192,alto,57.2,0.492639
329.396,moderado,57.17,0.203885
330.194,alto,57.08,0.797798
330.298,baixo,57.06,0.104615
330.404,moderado,57.04,0.105519
330.502,baixo,57.02,0.0985732
330.601,moderado,57,0.09808
330.699,alto,56.98,0.0979837
330.798,baixo,56.96,0.0996186
330.897,moderado,56.94,0.0989999
331.495,baixo,56.87,0.597437
331.893,moderado,56.82,0.398518
332.197,alto,56.78,0.303488
332.398,moderado,56.75,0.200941
332.597,baixo,56.72,0.199033
332.897,moderado,56.68,0.299993
332.995,baixo,56.66,0.0982026
333.298,moderado,56.62,0.303426
333.399,baixo,56.6,0.100831
333.497,moderado,56.58,0.0981839
333.599,alto,56.56,0.10162
333.995,moderado,56.51,0.396058
334.199,baixo,56.48,0.20374
334.297,moderado,56.46,0.0985469
334.592,baixo,56.42,0.295317
334.798,moderado,56.39,0.205631
334.896,alto,56.37,0.0979628
335.195,baixo,56.33,0.299071
335.495,moderado,56.29,0.300306
335.601,baixo,56.27,0.105711
335.701,moderado,56.25,0.0996446
335.896,alto,56.22,0.195609
336.196,moderado,56.18,0.299601
336.596,alto,56.13,0.399806
336.696,moderado,56.11,0.0998413
336.795,baixo,56.09,0.0998237
337.195,alto,56.04,0.399328
337.795,moderado,55.97,0.599866
339.296,alto,55.81,1.50114
339.396,moderado,55.79,0.100252
339.694,baixo,55.75,0.297904
339.897,moderado,55.72,0.202918
340.194,baixo,55.68,0.297491
340.297,moderado,55.66,0.102758
340.696,baixo,55.61,0.399278
341.195,moderado,55.55,0.498414
341.895,alto,55.47,0.699951
342.096,moderado,55.44,0.201265
342.397,baixo,55.4,0.301167
342.496,moderado,55.38,0.0989227
342.597,baixo,55.36,0.100459
342.697,moderado,55.34,0.100824
342.896,alto,55.31,0.198544
343.293,moderado,55.26,0.397393
343.498,baixo,55.23,0.204334
343.696,moderado,55.2,0.198174
343.901,baixo,55.17,0.204748
344.193,moderado,55.13,0.292839
344.993,alto,55.04,0.799532
345.094,moderado,55.02,0.101142
345.199,alto,55,0.10439
345.398,moderado,54.97,0.199737
345.597,alto,54.94,0.198263
346.497,baixo,54.84,0.900153
346.797,moderado,54.8,0.30037
346.896,baixo,54.78,0.0984785
346.996,moderado,54.76,0.100524
347.299,alto,54.72,0.302833
347.695,moderado,54.67,0.395949
347.899,alto,54.64,0.204339
347.996,moderado,54.62,0.0968732
348.595,alto,54.55,0.599134
349.195,moderado,54.48,0.599784
349.997,alto,54.39,0.801976
350.098,moderado,54.37,0.100887
350.496,alto,54.32,0.398125
350.697,moderado,54.29,0.200935
350.898,baixo,54.26,0.201196
351.195,moderado,54.22,0.296882
351.898,alto,54.14,0.703062
352.296,baixo,54.09,0.397524
352.593,moderado,54.05,0.297579
352.797,baixo,54.02,0.204298
353.096,moderado,53.98,0.298955
353.7,baixo,53.91,0.603965
353.901,moderado,53.88,0.200166
353.997,alto,53.86,0.0965164
354.198,moderado,53.83,0.2014
354.694,alto,53.77,0.495364
354.795,moderado,53.75,0.101629
354.899,baixo,53.73,0.103093
354.997,moderado,53.71,0.0981687
355.097,alto,53.69,0.100587
355.395,moderado,53.65,0.297498
355.896,alto,53.59,0.501232
355.997,moderado,53.57,0.101181
356.294,alto,53.53,0.296953
356.697,moderado,53.48,0.402589
357.397,baixo,53.4,0.699827
357.598,moderado,53.37,0.201065
358.598,alto,53.26,1.00076
359.795,moderado,53.13,1.19685
359.896,baixo,53.11,0.100923
360.197,moderado,53.07,0.30056
360.297,alto,53.05,0.100239
360.399,moderado,53.03,0.101997
360.496,alto,53.01,0.0975614
360.995,moderado,52.95,0.498269
361.297,baixo,52.91,0.301797
361.597,moderado,52.87,0.300538
361.695,baixo,52.85,0.0981187
362.094,moderado,52.8,0.399017
362.195,baixo,52.78,0.101139
362.597,alto,52.73,0.401496
362.7,moderado,52.71,0.102955
362.898,baixo,52.68,0.198525
362.997,moderado,52.66,0.0990617
364.095,baixo,52.54,1.0971
364.497,moderado,52.49,0.402602
365.594,baixo,52.37,1.09707
366.195,moderado,52.3,0.601278
366.993,alto,52.21,0.797703
367.197,baixo,52.18,0.204222
367.299,moderado,52.16,0.101341
367.399,baixo,52.14,0.100617
367.695,alto,52.1,0.296117
368,moderado,52.06,0.304366
368.896,alto,51.96,0.896101
368.997,moderado,51.94,0.10116
369.198,baixo,51.91,0.201256
369.493,moderado,51.87,0.294821
369.899,alto,51.82,0.405864
369.998,moderado,51.8,0.0985109
370.296,alto,51.76,0.298394
370.397,moderado,51.74,0.101213
370.6,alto,51.71,0.202502
370.8,moderado,51.68,0.200709
370.997,alto,51.65,0.197111
372.098,moderado,51.53,1.10096
372.198,baixo,51.51,0.0998819
372.298,moderado,51.49,0.0992863
372.497,alto,51.46,0.199683
372.795,moderado,51.42,0.29744
372.996,baixo,51.39,0.201708
373.196,moderado,51.36,0.199951
374.696,baixo,51.2,1.49989
375.195,alto,51.14,0.498986
375.295,moderado,51.12,0.100093
375.596,baixo,51.08,0.301091
375.799,alto,51.05,0.202593
375.895,moderado,51.03,0.0962842
376.098,baixo,51,0.202244
376.996,moderado,50.9,0.898176
377.098,baixo,50.88,0.102431
377.198,moderado,50.86,0.100266
377.697,baixo,50.8,0.498616
377.994,moderado,50.76,0.296549
378.298,alto,50.72,0.304131
378.594,baixo,50.68,0.29616
378.696,moderado,50.66,0.101725
378.895,alto,50.63,0.199083
379.301,moderado,50.58,0.405976
379.896,alto,50.51,0.595281
380.995,moderado,50.39,1.09894
381.294,alto,50.35,0.299524
381.598,moderado,50.31,0.304053
381.798,baixo,50.28,0.19953
382.095,moderado,50.24,0.297262
382.299,baixo,50.21,0.203533
382.495,alto,50.18,0.196515
382.794,baixo,50.14,0.298421
383.695,moderado,50.04,0.903948
383.899,alto,50.01,0.203949
383.996,baixo,49.99,0.0977521
384.098,moderado,49.97,0.101189
384.299,baixo,49.94,0.201176
384.593,moderado,49.9,0.294491
384.797,alto,49.87,0.203563
385.096,moderado,49.83,0.298706
385.197,alto,49.81,0.101712
385.3,moderado,49.79,0.102568
385.595,alto,49.75,0.295557
385.897,moderado,49.71,0.301823
387.096,baixo,49.58,1.1987
387.897,alto,49.49,0.801064
388.397,moderado,49.43,0.499992
388.601,baixo,49.4,0.2036
389.097,moderado,49.34,0.496423
389.399,baixo,49.3,0.302441
389.697,moderado,49.26,0.29744
389.894,baixo,49.23,0.196652
389.996,moderado,49.21,0.102254
390.395,baixo,49.16,0.399201
390.598,moderado,49.13,0.20258
390.796,alto,49.1,0.198519
390.895,moderado,49.08,0.0993888
391.394,alto,49.02,0.498566
391.598,moderado,48.99,0.203725
391.699,baixo,48.97,0.10173
392.297,alto,48.9,0.597401
392.596,baixo,48.86,0.299123
392.796,moderado,48.83,0.200275
392.896,alto,48.81,0.099556
393.294,moderado,48.76,0.398206
393.5,baixo,48.73,0.205875
393.896,moderado,48.68,0.39627
393.995,baixo,48.66,0.0989171
394.797,moderado,48.57,0.801549
394.997,baixo,48.54,0.200417
395.295,moderado,48.5,0.297421
396.095,alto,48.41,0.800322
396.196,moderado,48.39,0.100922
397.395,baixo,48.26,1.19917
397.498,moderado,48.24,0.103443
397.698,alto,48.21,0.199861
397.796,moderado,48.19,0.0975085
398.195,baixo,48.14,0.39887
398.396,moderado,48.11,0.201288
398.496,alto,48.09,0.099669
398.995,moderado,48.03,0.499117
399.098,alto,48.01,0.102949
399.197,baixo,47.99,0.0994817
399.495,moderado,47.95,0.298023
399.699,alto,47.92,0.203835
399.898,moderado,47.89,0.199472
400.098,alto,47.86,0.199196
400.993,moderado,47.76,0.895597
401.399,baixo,47.71,0.406123
401.695,moderado,47.67,0.296079
401.798,baixo,47.65,0.102788
401.899,alto,47.63,0.101025
401.996,moderado,47.61,0.097155
402.196,alto,47.58,0.199403
402.495,baixo,47.54,0.29946
402.697,moderado,47.51,0.201455
402.795,alto,47.49,0.0985127
403.098,moderado,47.45,0.302404
403.296,baixo,47.42,0.198525
403.399,moderado,47.4,0.102644
403.5,alto,47.38,0.101502
404.095,moderado,47.31,0.594751
404.298,alto,47.28,0.202673
405.196,baixo,47.18,0.898111
406.297,moderado,47.06,1.10134
406.695,baixo,47.01,0.397594
406.795,moderado,46.99,0.100312
406.9,baixo,46.97,0.104512
407.297,moderado,46.92,0.397659
407.397,alto,46.9,0.0999387
408.095,moderado,46.82,0.697865
408.595,alto,46.76,0.49994
409.198,moderado,46.69,0.602819
409.399,baixo,46.66,0.201099
409.499,moderado,46.64,0.0998039
409.697,alto,46.61,0.198214
409.899,moderado,46.58,0.201648
410.596,alto,46.5,0.697702
411.096,moderado,46.44,0.500132
411.496,alto,46.39,0.399242
411.695,moderado,46.36,0.199792
411.796,baixo,46.34,0.10048
