Tempo(s), Risco do Sensor, Nível da Bateria,Delta Battery, Diff(s),Mode
10.1669,alto,93.87,6.07,10,Non-Controlled
20.2668,baixo,87.8,6.01,10.0998,Non-Controlled
30.2668,alto,81.79,6.01,10,Non-Controlled
40.2669,baixo,75.78,6.07,10,Non-Controlled
50.3669,moderado,69.71,6.07,10.1,Non-Controlled
60.4668,alto,63.64,6.01,10.0999,Non-Controlled
70.4668,baixo,57.63,6.01,10,Non-Controlled
80.4668,moderado,51.62,6.07,10,Non-Controlled
90.5667,baixo,45.55,6.01,10.0999,Non-Controlled
101,alto,39.54,6.01,10.0001,Non-Controlled
111,baixo,33.53,6.07,10,Non-Controlled
121,moderado,27.46,6.07,10.1,Non-Controlled
131,baixo,21.39,6.01,10.0999,Non-Controlled
141,moderado,15.38,6.01,10.0001,Non-Controlled
151,alto,9.37,6.07,10,Non-Controlled
161,baixo,3.3,6.01,10.1,Non-Controlled
171,moderado,-2.71,6.07,10,Non-Controlled
181,alto,-8.78,6.01,10.1,Non-Controlled
191,baixo,-14.79,6.01,9.99999,Non-Controlled
201,moderado,-20.8,6.01,10.0001,Non-Controlled
211,alto,-26.81,6.07,9.99997,Non-Controlled
221,baixo,-32.88,6.01,10.0999,Non-Controlled
231,alto,-38.89,6.07,10.0001,Non-Controlled
241,baixo,-44.96,6.01,10.0999,Non-Controlled
251,moderado,-50.97,6.07,10.0002,Non-Controlled
261,baixo,-57.04,6.07,10.0999,Non-Controlled
271,alto,-63.11,6.01,10.1,Non-Controlled
281,baixo,-69.12,6.07,10,Non-Controlled
291,moderado,-75.19,6.01,10.0999,Non-Controlled
301,alto,-81.2,6.07,10.0001,Non-Controlled
312,baixo,-87.27,6.07,10.0999,Non-Controlled
322,alto,-93.34,6.01,10.1,Non-Controlled
332,baixo,-99.35,6.07,10.0001,Non-Controlled
342,alto,-105.42,6.01,10.1,Non-Controlled
352,baixo,-111.43,6.07,10.0001,Non-Controlled
362,alto,-117.5,6.07,10.0999,Non-Controlled
372,moderado,-123.57,6.01,10.1,Non-Controlled
382,baixo,-129.58,6.01,10,Non-Controlled
392,moderado,-135.59,6.07,10,Non-Controlled
402,baixo,-141.66,6.01,10.1,Non-Controlled
412,alto,-147.67,6.07,10,Non-Controlled
422,baixo,-153.74,6.01,10.1,Non-Controlled
432,moderado,-159.75,6.07,9.99994,Non-Controlled
442,alto,-165.82,6.01,10.0999,Non-Controlled
452,baixo,-171.83,6.07,10.0002,Non-Controlled
462,moderado,-177.9,6.01,10.1,Non-Controlled
472,baixo,-183.91,6.07,9.99996,Non-Controlled
482,alto,-189.98,6.01,10.1,Non-Controlled
492,baixo,-195.99,6.01,10,Non-Controlled
502,alto,-202,6.01,10.0001,Non-Controlled
512,baixo,-208.01,6.07,9.9999,Non-Controlled
523,moderado,-214.08,6.01,10.0999,Non-Controlled
533,baixo,-220.09,6.01,10.0001,Non-Controlled
543,alto,-226.1,6.01,9.99997,Non-Controlled
553,baixo,-232.11,6.07,10.0001,Non-Controlled
563,moderado,-238.18,6.01,10.0999,Non-Controlled
573,baixo,-244.19,6.07,10.0001,Non-Controlled
583,alto,-250.26,6.07,10.1,Non-Controlled
593,baixo,-256.33,6.07,10.0999,Non-Controlled
603,alto,-262.4,6.01,10.1,Non-Controlled
613,baixo,-268.41,6.07,10.0001,Non-Controlled
623,alto,-274.48,6.07,10.1,Non-Controlled
633,baixo,-280.55,6.07,10.0999,Non-Controlled
643,moderado,-286.62,6.01,10.1,Non-Controlled
653,baixo,-292.63,6.07,10,Non-Controlled
663,moderado,-298.7,6.07,10.1001,Non-Controlled
673,baixo,-304.77,6.07,10.0999,Non-Controlled
684,moderado,-310.84,6.01,10.1,Non-Controlled
694,baixo,-316.85,6.01,9.99995,Non-Controlled
704,alto,-322.86,6.01,10,Non-Controlled
714,baixo,-328.87,6.07,10.0001,Non-Controlled
724,moderado,-334.94,6.01,10.0998,Non-Controlled
734,baixo,-340.95,6.01,10.0001,Non-Controlled
744,alto,-346.96,6.01,10.0001,Non-Controlled
754,baixo,-352.97,6.07,10,Non-Controlled
764,alto,-359.04,6.01,10.1,Non-Controlled
774,baixo,-365.05,6.01,9.99998,Non-Controlled
784,alto,-371.06,6.07,10,Non-Controlled
794,baixo,-377.13,6.01,10.0999,Non-Controlled
804,alto,-383.14,6.07,10.0001,Non-Controlled
814,baixo,-389.21,6.07,10.1,Non-Controlled
824,moderado,-395.28,6.07,10.0999,Non-Controlled
834,alto,-401.35,6.01,10.1,Non-Controlled
844,baixo,-407.36,6.01,10.0001,Non-Controlled
854,alto,-413.37,6.07,10,Non-Controlled
864,baixo,-419.44,6.07,10.1,Non-Controlled
874,alto,-425.51,6.07,10.1,Non-Controlled
884,baixo,-431.58,6.01,10.1,Non-Controlled
894,alto,-437.59,6.01,9.99999,Non-Controlled
904,baixo,-443.6,6.01,10.0001,Non-Controlled
914,alto,-449.61,6.07,9.99996,Non-Controlled
925,baixo,-455.68,6.07,10.1,Non-Controlled
935,moderado,-461.75,6.01,10.0999,Non-Controlled
945,alto,-467.76,6.01,10.0001,Non-Controlled
955,baixo,-473.77,6.01,10,Non-Controlled
965,alto,-479.78,6.07,10.0001,Non-Controlled
975,baixo,-485.85,6.01,10.0999,Non-Controlled
985,moderado,-491.86,6.07,10,Non-Controlled
995,alto,-497.93,6.07,10.1001,Non-Controlled
1004.97,baixo,-504,6.01,10.1,Non-Controlled
1014.97,alto,-510.01,6.07,10,Non-Controlled
1025.07,baixo,-516.08,6.01,10.0999,Non-Controlled
1035.07,moderado,-522.09,6.07,10,Non-Controlled
1045.17,baixo,-528.16,6.01,10.1,Non-Controlled
1055.17,moderado,-534.17,6.01,10.0001,Non-Controlled
1065.17,baixo,-540.18,6.07,9.99996,Non-Controlled
1075.27,alto,-546.25,6.07,10.1,Non-Controlled
1085.37,baixo,-552.32,6.01,10.0998,Non-Controlled
1095.37,alto,-558.33,6.01,10.0001,Non-Controlled
1105.37,baixo,-564.34,6.07,10.0001,Non-Controlled
1115.47,alto,-570.41,6.01,10.1,Non-Controlled
1125.47,baixo,-576.42,6.01,9.9998,Non-Controlled
1135.47,moderado,-582.43,6.01,10.0001,Non-Controlled
1145.47,baixo,-588.44,6.07,10,Non-Controlled
1155.57,alto,-594.51,6.01,10.1,Non-Controlled
1165.57,baixo,-600.52,6.01,9.99999,Non-Controlled
1175.57,alto,-606.53,6.07,10,Non-Controlled
1185.67,baixo,-612.6,6.01,10.1,Non-Controlled
1195.67,moderado,-618.61,6.01,9.99997,Non-Controlled
1205.67,alto,-624.62,6.01,10.0001,Non-Controlled
1215.67,baixo,-630.63,6.07,10,Non-Controlled
1225.77,moderado,-636.7,6.01,10.0999,Non-Controlled
1235.77,alto,-642.71,6.07,10.0001,Non-Controlled
1245.87,baixo,-648.78,6.01,10.1,Non-Controlled
1255.87,alto,-654.79,6.07,10.0001,Non-Controlled
1265.97,baixo,-660.86,6.07,10.1,Non-Controlled
1276.07,alto,-666.93,6.01,10.0998,Non-Controlled
1286.07,baixo,-672.94,6.07,10.0001,Non-Controlled
1296.17,alto,-679.01,6.01,10.0999,Non-Controlled
1306.17,baixo,-685.02,6.01,10.0002,Non-Controlled
1316.17,alto,-691.03,6.07,9.99988,Non-Controlled
1326.27,baixo,-697.1,6.07,10.1,Non-Controlled
1336.37,alto,-703.17,6.01,10.0999,Non-Controlled
1346.37,baixo,-709.18,6.01,10,Non-Controlled
1356.37,alto,-715.19,6.01,10.0001,Non-Controlled
1366.37,baixo,-721.2,6.07,10,Non-Controlled
1376.47,alto,-727.27,6.07,10.0998,Non-Controlled
1386.57,baixo,-733.34,6.01,10.1001,Non-Controlled
1396.57,alto,-739.35,6.01,9.99999,Non-Controlled
1406.57,baixo,-745.36,6.01,10.0001,Non-Controlled
1416.57,moderado,-751.37,6.07,9.99999,Non-Controlled
1426.67,baixo,-757.44,6.07,10.0999,Non-Controlled
1436.77,moderado,-763.51,6.07,10.1,Non-Controlled
1446.87,baixo,-769.58,6.01,10.1,Non-Controlled
1456.87,moderado,-775.59,6.01,10.0001,Non-Controlled
1466.87,alto,-781.6,6.07,10.0003,Non-Controlled
1476.97,baixo,-787.67,6.01,10.0996,Non-Controlled
1486.97,moderado,-793.68,6.07,10.0001,Non-Controlled
1497.07,baixo,-799.75,6.01,10.1,Non-Controlled
1507.07,moderado,-805.76,6.01,10,Non-Controlled
1517.07,baixo,-811.77,6.07,10,Non-Controlled
1527.17,moderado,-817.84,6.07,10.0999,Non-Controlled
1537.27,alto,-823.91,6.07,10.1,Non-Controlled
1547.37,baixo,-829.98,6.01,10.0999,Non-Controlled
1557.37,alto,-835.99,6.01,10.0001,Non-Controlled
1567.37,moderado,-842,6.07,10.0001,Non-Controlled
1577.47,baixo,-848.07,6.01,10.0998,Non-Controlled
1587.47,moderado,-854.08,6.07,10,Non-Controlled
1597.57,baixo,-860.15,6.01,10.1,Non-Controlled
1607.57,alto,-866.16,6.01,10.0001,Non-Controlled
1617.57,baixo,-872.17,6.07,9.99998,Non-Controlled
1627.67,alto,-878.24,6.07,10.1,Non-Controlled
1637.77,baixo,-884.31,6.01,10.1,Non-Controlled
1647.77,moderado,-890.32,6.01,10.0001,Non-Controlled
1657.77,baixo,-896.33,6.01,9.99998,Non-Controlled
1667.77,moderado,-902.34,6.07,10,Non-Controlled
1677.87,baixo,-908.41,6.07,10.0999,Non-Controlled
1687.97,alto,-914.48,6.01,10.1,Non-Controlled
1697.97,baixo,-920.49,6.01,10,Non-Controlled
1707.97,moderado,-926.5,6.07,10,Non-Controlled
1718.07,baixo,-932.57,6.07,10.1,Non-Controlled
1728.17,alto,-938.64,6.07,10.0999,Non-Controlled
1738.27,baixo,-944.71,6.07,10.1001,Non-Controlled
1748.37,moderado,-950.78,6.01,10.1,Non-Controlled
1758.37,alto,-956.79,6.01,10,Non-Controlled
1768.37,baixo,-962.8,6.07,10.0001,Non-Controlled
1778.47,moderado,-968.87,6.07,10.0999,Non-Controlled
1788.57,baixo,-974.94,6.01,10.0999,Non-Controlled
1798.57,moderado,-980.95,6.01,10.0001,Non-Controlled
1808.57,alto,-986.96,6.01,10.0001,Non-Controlled
1818.57,baixo,-992.97,6.07,9.99995,Non-Controlled
1828.67,alto,-999.04,6.01,10.0999,Non-Controlled
1838.67,baixo,-1005.05,6.07,10.0001,Non-Controlled
1848.77,moderado,-1011.12,6.07,10.1,Non-Controlled
1858.87,baixo,-1017.19,6.01,10.0999,Non-Controlled
1868.87,moderado,-1023.2,6.07,10.0016,Non-Controlled
1878.97,baixo,-1029.27,6.07,10.0984,Non-Controlled
1889.07,alto,-1035.34,6.07,10.1,Non-Controlled
1899.17,baixo,-1041.41,6.01,10.1,Non-Controlled
1909.17,moderado,-1047.42,6.01,10,Non-Controlled
1919.17,alto,-1053.43,6.07,9.99999,Non-Controlled
1929.27,baixo,-1059.5,6.07,10.1,Non-Controlled
1939.37,alto,-1065.57,6.07,10.1001,Non-Controlled
1949.47,baixo,-1071.64,6.01,10.1,Non-Controlled
1959.47,alto,-1077.65,6.07,10.0001,Non-Controlled
1969.57,baixo,-1083.72,6.07,10.0999,Non-Controlled
1979.67,alto,-1089.79,6.01,10.1,Non-Controlled
1989.67,baixo,-1095.8,6.07,10,Non-Controlled
1999.77,moderado,-1101.87,6.01,10.0999,Non-Controlled
2009.77,alto,-1107.88,6.07,10.0002,Non-Controlled
2019.87,baixo,-1113.95,6.07,10.0999,Non-Controlled
2029.97,alto,-1120.02,6.07,10.1,Non-Controlled
2040.07,baixo,-1126.09,6.01,10.0999,Non-Controlled
2050.07,alto,-1132.1,6.01,10,Non-Controlled
2060.07,baixo,-1138.11,6.07,10.0001,Non-Controlled
2070.17,alto,-1144.18,6.07,10.0999,Non-Controlled
2080.27,baixo,-1150.25,6.01,10.1,Non-Controlled
2090.27,alto,-1156.26,6.01,10,Non-Controlled
2100.27,baixo,-1162.27,6.01,10,Non-Controlled
2110.27,moderado,-1168.28,6.07,10,Non-Controlled
2120.37,alto,-1174.35,6.07,10.1,Non-Controlled
2130.47,baixo,-1180.42,6.01,10.0999,Non-Controlled
2140.47,alto,-1186.43,6.07,10.0001,Non-Controlled
2150.57,baixo,-1192.5,6.01,10.1,Non-Controlled
2160.57,moderado,-1198.51,6.07,10,Non-Controlled
2170.67,alto,-1204.58,6.07,10.1012,Non-Controlled
2180.77,baixo,-1210.65,6.01,10.0987,Non-Controlled
2190.77,alto,-1216.66,6.07,10,Non-Controlled
2200.87,baixo,-1222.73,6.01,10.1,Non-Controlled
2210.87,moderado,-1228.74,6.07,10.0001,Non-Controlled
2220.97,alto,-1234.81,6.07,10.0999,Non-Controlled
2231.07,baixo,-1240.88,6.01,10.1,Non-Controlled
2241.07,alto,-1246.89,6.07,10,Non-Controlled
2251.17,baixo,-1252.96,6.01,10.0998,Non-Controlled
2261.17,moderado,-1258.97,6.07,10.0001,Non-Controlled
2271.27,baixo,-1265.04,6.07,10.1,Non-Controlled
2281.37,moderado,-1271.11,6.07,10.1,Non-Controlled
2291.47,baixo,-1277.18,6.07,10.0999,Non-Controlled
2301.57,alto,-1283.25,6.01,10.1,Non-Controlled
2311.57,baixo,-1289.26,6.07,10.0001,Non-Controlled
2321.67,moderado,-1295.33,6.01,10.0999,Non-Controlled
2331.67,alto,-1301.34,6.07,10.0001,Non-Controlled
2341.77,baixo,-1307.41,6.01,10.1,Non-Controlled
2351.77,alto,-1313.42,6.07,9.99999,Non-Controlled
2361.87,baixo,-1319.49,6.01,10.1,Non-Controlled
2371.87,moderado,-1325.5,6.01,10,Non-Controlled
2381.87,baixo,-1331.51,6.01,9.99994,Non-Controlled
2391.87,moderado,-1337.52,6.07,10.0001,Non-Controlled
2401.97,alto,-1343.59,6.01,10.1,Non-Controlled
2411.97,baixo,-1349.6,6.07,10.0001,Non-Controlled
2422.07,moderado,-1355.67,6.07,10.1012,Non-Controlled
2432.17,alto,-1361.74,6.01,10.0987,Non-Controlled
2442.17,baixo,-1367.75,6.07,10,Non-Controlled
2452.27,moderado,-1373.82,6.01,10.1,Non-Controlled
2462.27,baixo,-1379.83,6.07,9.99999,Non-Controlled
2472.37,moderado,-1385.9,6.01,10.1,Non-Controlled
2482.37,baixo,-1391.91,6.07,9.99994,Non-Controlled
2492.47,moderado,-1397.98,6.01,10.1,Non-Controlled
2502.47,alto,-1403.99,6.01,10,Non-Controlled
2512.47,baixo,-1410,6.07,10.0001,Non-Controlled
2522.57,moderado,-1416.07,6.07,10.1,Non-Controlled
2532.67,baixo,-1422.14,6.07,10.0999,Non-Controlled
2542.77,alto,-1428.21,6.01,10.1,Non-Controlled
2552.77,baixo,-1434.22,6.01,10.0001,Non-Controlled
2562.77,alto,-1440.23,6.01,10,Non-Controlled
2572.77,baixo,-1446.24,6.07,9.99997,Non-Controlled
2582.87,alto,-1452.31,6.07,10.0999,Non-Controlled
2592.97,baixo,-1458.38,6.01,10.1001,Non-Controlled
2602.97,alto,-1464.39,6.01,10,Non-Controlled
2612.97,baixo,-1470.4,6.01,10,Non-Controlled
11.9157,alto,99.150,5.622,11.09,Controlled
21.1156,baixo,93.528,0.78,9.19995,Controlled
32.1157,moderado,92.748,1.245,11.0001,Controlled
41.6156,baixo,91.503,0.78,9.49992,Controlled
52.6157,alto,90.723,5.622,11.0001,Controlled
61.8157,moderado,85.101,1.375,9.19995,Controlled
72.3157,alto,83.726,5.866,10.5,Controlled
81.9157,baixo,77.860,0.78,9.60006,Controlled
92.9158,moderado,77.080,1.31,11.0001,Controlled
103,alto,75.770,5.927,9.99985,Controlled
113,baixo,69.843,0.78,9.70001,Controlled
124,alto,69.063,5.622,11,Controlled
133,baixo,63.441,0.78,9.19992,Controlled
144,alto,62.661,5.622,11.0001,Controlled
