Tref:,1514231497,0.174005,=B1+C1

Sensor Sender ID, Patient Health Status, Detected Emergency?, T bodyhub.processed (s), T sensornode.collected (s), delta (s)
0,bad,true,13.5276,13.3324,0.195152
2,bad,false,14.5275,14.4435,0.0839845
1,bad,true,15.7275,15.538,0.189592
3,bad,true,17.6281,17.5493,0.078862
4,bad,false,18.6275,18.5554,0.0721496
2,bad,false,24.0275,23.9436,0.0838536
3,bad,false,26.8275,26.7496,0.077984
4,bad,false,28.6276,28.555,0.0726012
0,bad,false,32.8274,32.6324,0.195068
1,medium,false,35.0275,34.838,0.189559
3,medium,false,37.3276,37.2494,0.0781033
4,bad,true,39.6274,39.5551,0.072285
2,bad,true,45.0275,44.9435,0.084056
1,bad,false,45.5275,45.338,0.189497
0,bad,true,53.8275,53.6325,0.195059
1,bad,false,56.5275,56.3379,0.18953
4,bad,false,58.8275,58.7551,0.0723402
3,bad,true,59.3275,59.2494,0.078077
0,bad,false,63.0274,62.8324,0.195069
1,bad,false,66.5275,66.3379,0.189665
3,bad,false,68.5275,68.449,0.0785117
4,bad,true,69.8276,69.7551,0.0724358
0,bad,true,74.0276,73.8324,0.19514
1,bad,true,77.5276,77.3382,0.189399
3,bad,true,79.5275,79.4496,0.077902
2,bad,false,84.3275,84.2435,0.0839959
1,bad,false,86.7276,86.5381,0.189452
3,bad,false,88.7275,88.6494,0.0780319
0,bad,false,93.3274,93.1324,0.19499
1,bad,false,97.7274,97.5379,0.189517
3,bad,false,99.7274,99.649,0.0784513
0,bad,true,104.327,104.132,0.195033
4,bad,false,109.027,108.955,0.0722986
3,bad,false,109.227,109.149,0.0782713
2,bad,false,116.327,116.244,0.0839062
1,bad,true,117.727,117.538,0.189382
3,bad,true,120.227,120.149,0.0780107
0,bad,false,123.527,123.332,0.195052
2,bad,false,126.327,126.244,0.0839673
3,bad,false,129.428,129.35,0.0779926
0,bad,true,134.527,134.332,0.195062
2,bad,true,137.327,137.244,0.083955
1,bad,false,137.427,137.238,0.189423
3,bad,false,139.928,139.849,0.0783185
4,bad,true,141.028,140.955,0.072036
4,bad,false,150.227,150.155,0.0722974
3,bad,true,150.928,150.849,0.0782056
2,bad,false,156.527,156.444,0.0837585
3,bad,false,160.028,159.949,0.0780593
4,bad,true,161.228,161.155,0.0723166
2,bad,true,167.527,167.444,0.0838581
1,bad,true,169.427,169.239,0.188879
4,bad,false,170.327,170.255,0.0722403
0,bad,false,173.727,173.533,0.19488
2,bad,false,176.728,176.644,0.0840054
4,bad,true,181.328,181.255,0.0726563
0,bad,false,184.228,184.032,0.195045
2,bad,false,187.228,187.143,0.084083
3,bad,true,192.027,191.949,0.0780709
2,bad,true,198.228,198.144,0.0839694
1,bad,false,198.727,198.538,0.189392
3,bad,false,201.128,201.049,0.0782526
2,bad,false,207.428,207.344,0.083925
3,bad,false,212.128,212.049,0.078483
1,bad,true,220.728,220.538,0.189495
0,bad,true,226.227,226.032,0.195063
2,bad,true,228.428,228.344,0.0839221
1,bad,false,229.828,229.638,0.189472
4,bad,false,240.628,240.556,0.0720675
1,bad,true,240.828,240.639,0.188649
3,bad,false,242.627,242.55,0.0778826
1,bad,false,250.028,249.838,0.189595
4,bad,false,251.127,251.055,0.072556
0,bad,false,255.428,255.233,0.195027
2,medium,false,257.727,257.644,0.0837262
1,good,false,260.528,260.338,0.189592
3,bad,true,264.628,264.549,0.0781082
0,bad,false,266.427,266.232,0.195027
2,bad,true,268.728,268.643,0.0841308
1,bad,true,271.528,271.338,0.189446
4,bad,true,273.128,273.055,0.0722178
3,bad,false,273.828,273.75,0.0776698
0,bad,true,276.428,276.233,0.195062
4,bad,false,282.327,282.255,0.0719477
0,bad,false,286.028,285.832,0.195093
1,bad,false,290.627,290.438,0.189367
3,bad,true,295.828,295.749,0.0781609
2,bad,false,298.028,297.944,0.0839822
1,bad,true,301.127,300.938,0.189608
4,bad,true,303.328,303.256,0.0711509
2,bad,true,308.528,308.443,0.084116
3,bad,false,315.027,314.949,0.0780106
2,bad,false,318.227,318.143,0.084045
0,bad,true,319.028,318.832,0.1951
1,bad,false,320.828,320.638,0.189505
3,bad,false,326.028,325.949,0.0781904
0,bad,false,328.128,327.933,0.195058
2,bad,true,329.228,329.144,0.0840869
1,bad,false,331.327,331.138,0.189442
4,bad,false,332.527,332.455,0.0724333
2,medium,false,338.428,338.344,0.0839277
0,bad,true,339.128,338.933,0.195004
3,bad,false,345.528,345.449,0.0782506
0,good,false,348.227,348.032,0.195025
2,bad,true,349.428,349.343,0.0840422
1,bad,false,353.328,353.138,0.189496
0,bad,true,359.228,359.032,0.195035
1,bad,true,362.828,362.638,0.189392
4,bad,true,364.527,364.455,0.0722826
3,bad,false,366.528,366.45,0.0779686
1,bad,false,372.427,372.238,0.189512
4,bad,false,373.628,373.555,0.072076
2,bad,false,378.728,378.644,0.0836522
1,bad,true,382.927,382.738,0.189336
4,bad,true,384.627,384.555,0.0723038
3,bad,true,386.028,385.949,0.0780895
0,bad,false,388.427,388.232,0.195107
3,bad,false,395.727,395.65,0.077947
2,bad,false,399.727,399.644,0.0836418
4,bad,false,403.827,403.755,0.0724905
0,bad,false,409.428,409.232,0.195127
3,bad,true,417.727,417.65,0.0778786
0,bad,false,419.427,419.232,0.194978
2,bad,true,421.728,421.644,0.0841392
1,bad,false,422.628,422.438,0.189708
3,bad,false,426.927,426.85,0.0777112
0,bad,true,430.429,430.235,0.194113
1,bad,false,433.128,432.938,0.189546
4,bad,true,434.827,434.755,0.072217
2,bad,false,440.927,440.844,0.0837846
4,bad,false,444.027,443.955,0.0720083
1,bad,false,444.127,443.938,0.189408
2,bad,true,451.427,451.344,0.0838606
1,bad,true,454.127,453.938,0.189537
4,bad,false,454.528,454.455,0.0720818
3,bad,true,457.928,457.85,0.0780727
0,bad,false,459.627,459.432,0.195082
1,bad,false,463.727,463.538,0.189488
4,bad,true,465.527,465.455,0.0723233
0,bad,true,470.628,470.432,0.195126
2,bad,false,471.028,470.944,0.0837394
4,bad,false,474.628,474.555,0.0723217
1,bad,false,474.727,474.538,0.18954
0,bad,false,479.728,479.532,0.195087
2,bad,true,482.027,481.944,0.0833287
1,bad,true,484.228,484.038,0.189679
3,bad,false,487.228,487.149,0.078338
2,bad,false,491.127,491.044,0.0838551
0,bad,true,501.727,501.532,0.195049
2,bad,false,502.127,502.044,0.0839186
1,bad,false,503.827,503.638,0.189372
3,bad,true,508.227,508.149,0.0782838
2,bad,false,511.627,511.544,0.0838736
1,bad,true,514.827,514.638,0.18955
2,bad,true,522.627,522.544,0.0836062
1,bad,false,523.928,523.738,0.189479
4,bad,true,526.628,526.555,0.0722313
3,bad,false,527.428,527.35,0.0779513
0,bad,false,531.127,530.932,0.195189
1,bad,false,534.428,534.238,0.189434
4,bad,false,535.828,535.756,0.072017
3,bad,true,537.928,537.85,0.0777087
2,bad,false,541.827,541.744,0.0837511
0,bad,false,542.127,541.933,0.194952
