Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor0,bom,3.27327,3.36829,0.0950198
Sensor0,bom,4.27334,4.3681,0.0947568
Sensor0,bom,5.2733,5.36821,0.0949062
Sensor0,bom,6.27324,6.36808,0.0948443
Sensor0,bom,7.27324,7.36817,0.0949374
Sensor0,bom,8.27325,8.36818,0.0949268
Sensor0,bom,9.27329,9.36823,0.0949376
Sensor0,bom,10.2734,10.3682,0.0947797
Sensor0,bom,11.2733,11.3682,0.0948844
Sensor0,bom,12.2733,12.3682,0.0948574
Sensor0,bom,13.2732,13.3682,0.0949154
Sensor0,bom,14.2732,14.3682,0.0949117
Sensor0,bom,15.2733,15.3682,0.0949017
Sensor0,bom,16.2733,16.3681,0.0948287
Sensor0,bom,17.2733,17.3682,0.0948525
Sensor0,bom,18.2734,18.3682,0.0947522
Sensor0,bom,19.2733,19.3681,0.0948631
Sensor0,bom,20.2734,20.3682,0.0947748
Sensor0,bom,21.2733,21.3681,0.0947926
Sensor0,bom,22.2732,22.3681,0.0948743
Sensor0,bom,23.2732,23.3682,0.0950024
Sensor0,bom,24.2732,24.3682,0.0949235
Sensor0,bom,25.2733,25.3682,0.0948661
Sensor0,bom,26.2733,26.3682,0.0948716
Sensor0,bom,27.2733,27.3682,0.0948677
Sensor0,bom,28.2733,28.3682,0.0948173
Sensor0,bom,29.2732,29368,0.0947901
Sensor0,bom,30.2732,30.3681,0.0948872
Sensor0,bom,31.2732,31.3682,0.0950089
Sensor0,bom,32.2733,32.3682,0.0948276
Sensor0,bom,33.2733,33.3682,0.094841
Sensor0,bom,34.2733,34.3682,0.0948259
Sensor0,bom,35.2734,35.3682,0.0948186
Sensor0,bom,36.2733,36.3682,0.0948429
Sensor0,bom,37.2733,37.3682,0.0948173
Sensor0,bom,38.2732,38.3682,0.0949855
Sensor0,bom,39.2731,39.3681,0.0949986
Sensor0,bom,40.2734,40.3682,0.0947976
Sensor0,bom,41.2733,41.3682,0.0948145
Sensor0,bom,42.2733,42.3682,0.0948675
Sensor0,bom,43.2733,43.3682,0.0948324
Sensor0,bom,44.2734,44.3682,0.094794
Sensor0,bom,45.2733,45.3681,0.0947621
Sensor0,bom,46.2733,46.3681,0.0948273
Sensor0,bom,47.2732,47.3682,0.0949595
Sensor0,bom,48.2733,48.3681,0.0948448
Sensor0,bom,49.2733,49.3681,0.0948257
Sensor0,bom,50.2732,50.3681,0.0948908
Sensor0,bom,51.2733,51.3682,0.0948252
Sensor0,bom,52.2734,52.3682,0.0948124
Sensor0,bom,53.2734,53.3682,0.0947735
Sensor0,bom,54.2733,54.3681,0.0948461
Sensor0,bom,55273,55.3682,0.0952051
Sensor0,bom,56.2733,56.3682,0.0949547
Sensor0,bom,57.2734,57.3682,0.0948045
Sensor0,bom,58.2734,58.3682,0.0948349
Sensor0,bom,59.2733,59.3682,0.0948971
Sensor0,bom,60.2733,60.3682,0.0948258
Sensor0,bom,61.2733,61.3682,0.0948804
Sensor0,bom,62.2732,62368,0.0948344
Sensor0,bom,63.2731,63.3681,0.0949381
Sensor0,bom,64.2733,64.3682,0.0949002
Sensor0,bom,65.2733,65.3682,0.0949099
Sensor0,bom,66.2732,66.3681,0.0948683
Sensor0,bom,67.2733,67.3681,0.0948112
Sensor0,bom,68.2733,68.3682,0.0948737
Sensor0,bom,69.2733,69.3681,0.0948469
Sensor0,bom,70.2733,70368,0.0946937
Sensor0,bom,71.2732,71368,0.0947909
Sensor0,bom,72.2732,72.3681,0.0949689
Sensor0,bom,73.2733,73.3682,0.0948883
Sensor0,bom,74.2733,74.3682,0.094885
Sensor0,bom,75.2733,75.3681,0.0948235
Sensor0,bom,76.2732,76.3682,0.0949367
Sensor0,bom,77.2732,77.3682,0.0949398
Sensor0,bom,78.2732,78.3681,0.0948404
Sensor0,bom,79.2731,79.3681,0.0949391
Sensor0,bom,80.2732,80.3681,0.0949656
Sensor0,bom,81.2733,81.3681,0.0948264
Sensor0,bom,82.2734,82.3682,0.0947957
Sensor0,bom,83.2733,83.3681,0.0948172
Sensor0,bom,84.2733,84.3681,0.094818
Sensor0,bom,85.2733,85.3682,0.0949119
Sensor0,bom,86.2733,86.3681,0.0948405
Sensor0,bom,87.2733,87.3681,0.0948538
Sensor0,bom,88.2733,88.3682,0.0948788
Sensor0,bom,89.2733,89.3682,0.0948596
Sensor0,bom,90.2734,90.3682,0.0947945
Sensor0,bom,91.2734,91.3682,0.0947909
Sensor0,bom,92.2733,92.3682,0.0949022
Sensor0,bom,93.2733,93.3682,0.0948944
Sensor0,bom,94.2732,94.3681,0.0948518
Sensor0,bom,95.2732,95.3681,0.0948807
Sensor0,bom,96.2732,96.3682,0.0949415
Sensor0,bom,97.2732,97.3682,0.0949322
Sensor0,bom,98.2733,98.3681,0.094771
Sensor0,bom,99.2733,99.3681,0.0948383
Sensor0,bom,100273,100368,0.09482
Sensor0,bom,101273,101368,0.0948372
Sensor0,bom,102273,102368,0.0949472
Sensor0,bom,103273,103368,0.0947885
Sensor0,bom,104273,104368,0.0949531
Sensor0,bom,105273,105368,0.0948461
Sensor0,bom,106273,106368,0.0948886
Sensor0,bom,107273,107368,0.0948669
Sensor0,bom,108273,108368,0.0948624
Sensor0,bom,109273,109368,0.094829
Sensor0,bom,110273,110368,0.0948846
Sensor0,bom,111273,111368,0.0946946
Sensor0,bom,112273,112368,0.0948581
Sensor0,bom,113273,113368,0.094833
Sensor0,bom,114273,114368,0.0949124
Sensor0,bom,115273,115368,0.0948867
Sensor0,bom,116273,116368,0.0948674
Sensor0,bom,117273,117369,0.095135
Sensor0,bom,118273,118368,0.0948358
Sensor0,bom,119273,119368,0.0948132
Sensor0,bom,120273,120368,0.0948756
Sensor0,bom,121273,121368,0.0948714
Sensor0,bom,122273,122368,0.0948645
Sensor0,bom,123273,123368,0.0948362
Sensor0,bom,124273,124368,0.0948698
Sensor0,bom,125273,125368,0.0948975
Sensor0,bom,126273,126368,0.0948491
Sensor0,bom,127273,127368,0.0948023
Sensor0,bom,128273,128368,0.0948107
Sensor0,bom,129273,129368,0.0948572
Sensor0,bom,130273,130368,0.0948567
Sensor0,bom,131273,131368,0.0948501
Sensor0,bom,132273,132368,0.0948271
Sensor0,bom,133273,133368,0.0948144
Sensor0,bom,134273,134368,0.0948345
Sensor0,bom,135273,135368,0.0947613
Sensor0,bom,136273,136368,0.0948974
Sensor0,bom,137273,137368,0.0948558
Sensor0,bom,138273,138368,0.0948368
Sensor0,bom,139273,139368,0.0948667
Sensor0,bom,140273,140368,0.0947849
Sensor0,bom,141273,141368,0.0948612
Sensor0,bom,142273,142368,0.0948952
Sensor0,bom,143273,143368,0.0948094
Sensor0,bom,144273,144368,0.0948531
Sensor0,bom,145273,145368,0.0947887
Sensor0,bom,146273,146368,0.0949657
Sensor0,bom,147273,147368,0.0948411
Sensor0,bom,148273,148368,0.0948703
Sensor0,bom,149273,149368,0.0948891
Sensor0,bom,150273,150368,0.0949565
Sensor0,bom,151273,151368,0.0949454
Sensor0,bom,152273,152368,0.0948906
Sensor0,bom,153273,153368,0.094808
Sensor0,bom,154273,154368,0.0948653
Sensor0,bom,155273,155368,0.0948827
Sensor0,bom,156273,156368,0.0948427
Sensor0,bom,157273,157368,0.0948184
Sensor0,bom,158273,158368,0.0949025
Sensor0,bom,159273,159368,0.0947846
Sensor0,bom,160273,160368,0.0948997
Sensor0,bom,161273,161368,0.0949046
Sensor0,bom,162273,162368,0.0948672
Sensor0,bom,163273,163368,0.094866
Sensor0,bom,164273,164368,0.0949208
Sensor0,bom,165273,165368,0.0948919
Sensor0,bom,166273,166368,0.0948737
Sensor0,bom,167273,167368,0.0948135
Sensor0,bom,168273,168368,0.094918
Sensor0,bom,169273,169368,0.0947639
Sensor0,bom,170273,170368,0.0948352
Sensor0,bom,171273,171368,0.0948056
Sensor0,bom,172273,172368,0.0947815
Sensor0,bom,173273,173368,0.0947923
Sensor0,bom,174273,174368,0.0949496
Sensor0,bom,175273,175368,0.0949157
Sensor0,bom,176273,176368,0.09497
Sensor0,bom,177273,177368,0.0949744
Sensor0,bom,178273,178368,0.094898
Sensor0,bom,179273,179368,0.094976
Sensor0,bom,180273,180368,0.0949301
Sensor0,bom,181273,181368,0.0949305
Sensor0,bom,182273,182368,0.0948602
Sensor0,bom,183273,183368,0.0949731
Sensor0,bom,184273,184368,0.0949632
Sensor0,bom,185273,185368,0.0948495
Sensor0,bom,186273,186368,0.094891
Sensor0,bom,187273,187368,0.094898
Sensor0,bom,188273,188368,0.0949271
Sensor0,bom,189273,189368,0.0948026
Sensor0,bom,190273,190368,0.0949235
Sensor0,bom,191273,191368,0.0948378
Sensor0,bom,192273,192368,0.0950468
Sensor0,bom,193273,193368,0.0949005
Sensor0,bom,194273,194368,0.0948706
Sensor0,bom,195273,195368,0.0948865
Sensor0,bom,196273,196368,0.0948706
Sensor0,bom,197273,197368,0.0949842
Sensor0,bom,198273,198368,0.0949857
Sensor0,bom,199273,199368,0.0949913
Sensor0,bom,200273,200368,0.0949964
Sensor0,bom,201273,201368,0.0949228
Sensor0,bom,202273,202368,0.0949692
Sensor0,bom,203273,203368,0.094981
Sensor0,bom,204273,204368,0.094898
Sensor0,bom,205273,205368,0.0949306
Sensor0,bom,206273,206368,0.0948586
Sensor0,bom,207273,207368,0.0948198
Sensor0,bom,208273,208368,0.0948972
Sensor0,bom,209273,209368,0.0949478
Sensor0,bom,210273,210368,0.0949327
Sensor0,bom,211273,211368,0.0949372
Sensor0,bom,212273,212368,0.0949819
Sensor0,bom,213273,213368,0.0949213
Sensor0,bom,214273,214368,0.0949399
Sensor0,bom,215273,215368,0.09503
Sensor0,bom,216273,216368,0.0949583
Sensor0,bom,217273,217368,0.0949092
Sensor0,bom,218273,218368,0.0948812
Sensor0,bom,219273,219368,0.0949571
Sensor0,bom,220273,220368,0.0948897
Sensor0,bom,221273,221368,0.0948517
Sensor0,bom,222273,222368,0.0947694
Sensor0,bom,223273,223368,0.0948447
Sensor0,bom,224273,224368,0.0948083
Sensor0,bom,225273,225368,0.0950127
Sensor0,bom,226273,226368,0.09488
Sensor0,bom,227273,227368,0.0948266
Sensor0,bom,228273,228368,0.0948531
Sensor0,bom,229273,229368,0.0949766
Sensor0,bom,230273,230368,0.0948698
Sensor0,bom,231273,231368,0.0948924
Sensor0,bom,232273,232368,0.0949311
Sensor0,bom,233273,233368,0.0949516
Sensor0,bom,234273,234368,0.0948749
Sensor0,bom,235273,235368,0.0948322
Sensor0,bom,236273,236368,0.0949635
Sensor0,bom,237273,237368,0.0948197
Sensor0,bom,238273,238368,0.0948478
Sensor0,bom,239273,239368,0.0948618
Sensor0,bom,240273,240368,0.0949082
Sensor0,bom,241273,241368,0.0948048
Sensor0,bom,242273,242368,0.0948826
Sensor0,bom,243273,243368,0.094892
Sensor0,bom,244273,244368,0.0948267
Sensor0,bom,245273,245368,0.0949605
Sensor0,bom,246273,246368,0.0949098
Sensor0,bom,247273,247368,0.0948703
Sensor0,bom,248273,248368,0.0948842
Sensor0,bom,249273,249368,0.0949334
Sensor0,bom,250273,250368,0.0948838
Sensor0,bom,251273,251368,0.0948054
Sensor0,bom,252273,252368,0.0948638
Sensor0,bom,253273,253368,0.0949021
Sensor0,bom,254273,254368,0.0948872
Sensor0,bom,255273,255368,0.0948218
Sensor0,bom,256273,256368,0.0949002
Sensor0,bom,257273,257368,0.0949289
Sensor0,bom,258273,258368,0.0949122
Sensor0,bom,259273,259368,0.0948755
Sensor0,bom,260273,260368,0.0948889
Sensor0,bom,261273,261368,0.0948804
Sensor0,bom,262273,262368,0.0950128
Sensor0,bom,263273,263368,0.0948569
Sensor0,bom,264273,264368,0.0948882
Sensor0,bom,265273,265368,0.094933
Sensor0,bom,266273,266368,0.0950045
Sensor0,bom,267273,267368,0.094934
Sensor0,bom,268273,268368,0.0949307
Sensor0,bom,269273,269368,0.0948788
Sensor0,bom,270273,270368,0.0949109
Sensor0,bom,271273,271368,0.0948957
Sensor0,bom,272273,272368,0.0948523
Sensor0,bom,273273,273368,0.0949248
Sensor0,bom,274273,274368,0.0949694
Sensor0,bom,275273,275368,0.0948711
Sensor0,bom,276273,276368,0.0949498
Sensor0,bom,277273,277368,0.0948514
Sensor0,bom,278273,278368,0.0948544
Sensor0,bom,279273,279368,0.0949414
Sensor0,bom,280273,280368,0.0948318
Sensor0,bom,281273,281368,0.0948959
Sensor0,bom,282273,282368,0.0948812
Sensor0,bom,283273,283368,0.0948588
Sensor0,bom,284273,284368,0.094895
Sensor0,bom,285273,285368,0.0949177
Sensor0,bom,286273,286368,0.0948319
Sensor0,bom,287273,287368,0.0947658
Sensor0,bom,288273,288368,0.0947498
Sensor0,bom,289273,289368,0.0949273
Sensor0,bom,290273,290368,0.0948402
Sensor0,bom,291273,291368,0.0948432
Sensor0,bom,292273,292368,0.0947768
Sensor0,bom,293273,293368,0.0947827
Sensor0,bom,294273,294368,0.0949009
Sensor0,bom,295273,295368,0.0948707
Sensor0,bom,296273,296368,0.0949751
Sensor0,bom,297273,297368,0.0946756
Sensor0,bom,298273,298368,0.0948175
Sensor0,bom,299273,299368,0.0947516
Sensor0,bom,300273,300368,0.0948348
Sensor0,bom,301275,301368,0.0934667
Sensor1,bom,4.07901,4.16824,0.0892255
Sensor1,bom,5.0791,5.16833,0.0892239
Sensor1,bom,6.07893,6.1681,0.0891688
Sensor1,bom,7.07889,7.16827,0.0893807
Sensor1,bom,8.0791,8.16817,0.0890668
Sensor1,bom,9.07921,9.1682,0.0889902
Sensor1,bom,10.0791,10.1682,0.0890545
Sensor1,bom,11.0791,11.1682,0.0890471
Sensor1,bom,12.0791,12.1682,0.0890561
Sensor1,bom,13.0792,13.1681,0.0889427
Sensor1,bom,14079,14.1681,0.0890865
Sensor1,bom,15.0789,15.1682,0.0892855
Sensor1,bom,16.0791,16.1687,0.0896792
Sensor1,bom,17079,17.1682,0.0891123
Sensor1,bom,18.0792,18.1681,0.0888933
Sensor1,bom,19.0791,19.1682,0.0890596
Sensor1,bom,20.0792,20.1682,0.0889448
Sensor1,bom,21.0791,21.1681,0.0890891
Sensor1,bom,22079,22.1681,0.0890483
Sensor1,bom,23.0789,23.1681,0.0892013
Sensor1,bom,24.0791,24.1682,0.0890248
Sensor1,bom,25.0792,25.1682,0.0889906
Sensor1,bom,26.0791,26.1682,0.0890902
Sensor1,bom,27.0791,27.1681,0.0890703
Sensor1,bom,28079,28.1681,0.089112
Sensor1,bom,29.0791,29.1682,0.0890992
Sensor1,bom,30079,30.1681,0.0891064
Sensor1,bom,31079,31168,0.0890646
Sensor1,bom,32.0789,32.1682,0.0892805
Sensor1,bom,33.0792,33.1682,0.088998
Sensor1,bom,34.0792,34.1682,0.0890014
Sensor1,bom,35.0791,35.1682,0.0890749
Sensor1,bom,36.0791,36.1682,0.0890362
Sensor1,bom,37.0791,37.1682,0.0890987
Sensor1,bom,38079,38.1681,0.0890814
Sensor1,bom,39.0789,39.1681,0.0891933
Sensor1,bom,40079,40.1682,0.0891821
Sensor1,bom,41.0791,41.1682,0.0891
Sensor1,bom,42079,42.1681,0.0890935
Sensor1,bom,43.0791,43.1682,0.0891064
Sensor1,bom,44.0791,44.1681,0.0890019
Sensor1,bom,45.0791,45.1682,0.0890966
Sensor1,bom,46079,46.1681,0.0890549
Sensor1,bom,47.0789,47.1681,0.0891612
Sensor1,bom,48079,48.1681,0.089135
Sensor1,bom,49.0792,49.1681,0.0889619
Sensor1,bom,50079,50.1681,0.0890899
Sensor1,bom,51079,51.1681,0.0890899
Sensor1,bom,52079,52.1681,0.0890996
Sensor1,bom,53.0792,53.1682,0.0889791
Sensor1,bom,54.0791,54.1681,0.0889897
Sensor1,bom,55.0791,55.1681,0.0890171
Sensor1,bom,56079,56.1682,0.0891884
Sensor1,bom,57.0791,57.1682,0.0891012
Sensor1,bom,58.0791,58.1682,0.0890441
Sensor1,bom,59.0791,59.1682,0.0891184
Sensor1,bom,60.0791,60.1682,0.0890619
Sensor1,bom,61.0791,61.1682,0.0890715
Sensor1,bom,62.0791,62.1681,0.0890072
Sensor1,bom,63.0791,63168,0.0889821
Sensor1,bom,64.0789,64.1681,0.0892598
Sensor1,bom,65.0792,65.1682,0.0890164
Sensor1,bom,66079,66.1681,0.0890812
Sensor1,bom,67.0791,67.1681,0.0890209
Sensor1,bom,68.0791,68.1682,0.0891056
Sensor1,bom,69.0791,69.1681,0.0890212
Sensor1,bom,70079,70168,0.0889966
Sensor1,bom,71079,71168,0.0889574
Sensor1,bom,72079,72.1682,0.0891774
Sensor1,bom,73.0789,73.1681,0.0891778
Sensor1,bom,74.0791,74.1682,0.0890903
Sensor1,bom,75.0791,75.1682,0.0890483
Sensor1,bom,76.0791,76.1682,0.0890948
Sensor1,bom,77.0791,77.1682,0.0890558
Sensor1,bom,78079,78.1681,0.0891096
Sensor1,bom,79079,79168,0.089014
Sensor1,bom,80079,80.1681,0.0890958
Sensor1,bom,81079,81.1682,0.0892216
Sensor1,bom,82079,82.1682,0.0891642
Sensor1,bom,83079,83.1682,0.0891433
Sensor1,bom,84079,84.1681,0.089103
Sensor1,bom,85.0792,85.1682,0.0889926
Sensor1,bom,86079,86.1681,0.0890594
Sensor1,bom,87079,87.1681,0.0891322
Sensor1,bom,88.0791,88.1682,0.0891011
Sensor1,bom,89.0791,89.1682,0.0891126
Sensor1,bom,90.0791,90.1682,0.0890811
Sensor1,bom,91.0791,91.1682,0.089083
Sensor1,bom,92079,92.1682,0.0891459
Sensor1,bom,93079,93.1681,0.0891313
Sensor1,bom,94079,94.1681,0.0890576
Sensor1,bom,95079,95.1681,0.0891164
Sensor1,bom,96079,96.1682,0.0892128
Sensor1,bom,97079,97.1682,0.0891964
Sensor1,bom,98079,98.1681,0.0891119
Sensor1,bom,99079,99.1681,0.0890851
Sensor1,bom,100079,100168,0.0891278
Sensor1,bom,101079,101168,0.0890469
Sensor1,bom,102079,102168,0.0891435
Sensor1,bom,103079,103168,0.0890057
Sensor1,bom,104079,104168,0.089109
Sensor1,bom,105079,105168,0.0890905
Sensor1,bom,106079,106168,0.0890599
Sensor1,bom,107079,107168,0.0891315
Sensor1,bom,108079,108168,0.0891519
Sensor1,bom,109079,109168,0.0890171
Sensor1,bom,110079,110168,0.0891173
Sensor1,bom,111079,111168,0.0890786
Sensor1,bom,112079,112168,0.0893879
Sensor1,bom,113079,113168,0.0890379
Sensor1,bom,114079,114168,0.0891836
Sensor1,bom,115079,115168,0.0891036
Sensor1,bom,116079,116168,0.0890606
Sensor1,bom,117079,117168,0.08911
Sensor1,bom,118079,118168,0.0889542
Sensor1,bom,119079,119168,0.0891944
Sensor1,bom,120079,120168,0.0891189
Sensor1,bom,121079,121168,0.08901
Sensor1,bom,122079,122168,0.0890357
Sensor1,bom,123079,123168,0.0891004
Sensor1,bom,124079,124168,0.0890647
Sensor1,bom,125079,125168,0.0890306
Sensor1,bom,126079,126168,0.0891354
Sensor1,bom,127079,127168,0.0890043
Sensor1,bom,128079,128168,0.0891384
Sensor1,bom,129079,129168,0.0889905
Sensor1,bom,130079,130168,0.0890556
Sensor1,bom,131079,131168,0.0890423
Sensor1,bom,132079,132168,0.089077
Sensor1,bom,133079,133168,0.0891308
Sensor1,bom,134079,134168,0.0890054
Sensor1,bom,135079,135168,0.0890444
Sensor1,bom,136079,136168,0.0891677
Sensor1,bom,137079,137168,0.0889873
Sensor1,bom,138079,138168,0.0890134
Sensor1,bom,139079,139168,0.0890298
Sensor1,bom,140079,140168,0.0890444
Sensor1,bom,141079,141168,0.0890439
Sensor1,bom,142079,142168,0.0890817
Sensor1,bom,143079,143168,0.089013
Sensor1,bom,144079,144168,0.0891707
Sensor1,bom,145079,145168,0.0890984
Sensor1,bom,146079,146168,0.0891448
Sensor1,bom,147079,147168,0.089159
Sensor1,bom,148079,148168,0.0891332
Sensor1,bom,149079,149168,0.0889615
Sensor1,bom,150079,150168,0.088964
Sensor1,bom,151079,151168,0.0891794
Sensor1,bom,152079,152168,0.0890291
Sensor1,bom,153079,153168,0.0890722
Sensor1,bom,154079,154168,0.0891491
Sensor1,bom,155079,155168,0.0889888
Sensor1,bom,156079,156168,0.0890387
Sensor1,bom,157079,157168,0.0890659
Sensor1,bom,158079,158168,0.089056
Sensor1,bom,159079,159168,0.0890619
Sensor1,bom,160079,160168,0.0893006
Sensor1,bom,161079,161168,0.0891522
Sensor1,bom,162079,162168,0.0890848
Sensor1,bom,163079,163168,0.089067
Sensor1,bom,164079,164168,0.0890992
Sensor1,bom,165079,165168,0.0890931
Sensor1,bom,166079,166168,0.0890407
Sensor1,bom,167079,167168,0.0889673
Sensor1,bom,168079,168168,0.0890521
Sensor1,bom,169079,169168,0.089167
Sensor1,bom,170079,170168,0.0890229
Sensor1,bom,171079,171168,0.0890067
Sensor1,bom,172079,172168,0.0890117
Sensor1,bom,173079,173168,0.0890249
Sensor1,bom,174079,174168,0.089012
Sensor1,bom,175079,175168,0.0891417
Sensor1,bom,176079,176168,0.0892235
Sensor1,bom,177079,177168,0.0890977
Sensor1,bom,178079,178168,0.089248
Sensor1,bom,179079,179168,0.0892032
Sensor1,bom,180079,180168,0.0891499
Sensor1,bom,181079,181168,0.0892509
Sensor1,bom,182079,182168,0.0892344
Sensor1,bom,183079,183168,0.0892492
Sensor1,bom,184079,184168,0.0892414
Sensor1,bom,185079,185168,0.0891809
Sensor1,bom,186079,186168,0.0890373
Sensor1,bom,187079,187168,0.0891661
Sensor1,bom,188079,188168,0.0891027
Sensor1,bom,189079,189168,0.0890756
Sensor1,bom,190079,190168,0.0891019
Sensor1,bom,191079,191168,0.088943
Sensor1,bom,192079,192168,0.0890702
Sensor1,bom,193079,193168,0.0891774
Sensor1,bom,194079,194168,0.0891271
Sensor1,bom,195079,195168,0.0890976
Sensor1,bom,196079,196168,0.0890811
